,x,y
0,0.0,-6.0
1,0.0,-5.88
2,0.0,-5.76
3,0.0,-5.64
4,0.0,-5.52
5,0.0,-5.4
6,0.0,-5.28
7,0.0,-5.16
8,0.0,-5.04
9,0.0,-4.92
10,0.0,-4.8
11,0.0,-4.68
12,0.0,-4.56
13,0.0,-4.44
14,0.0,-4.32
15,0.0,-4.2
16,0.0,-4.08
17,0.0,-3.96
18,0.0,-3.84
19,0.0,-3.72
20,0.0,-3.6
21,0.0,-3.48
22,0.0,-3.36
23,0.0,-3.24
24,0.0,-3.12
25,0.0,-3.0
26,0.0,-2.88
27,0.0,-2.76
28,0.0,-2.64
29,0.0,-2.52
30,0.0,-2.4
31,0.0,-2.28
32,0.0,-2.16
33,0.0,-2.04
34,0.0,-1.92
35,0.0,-1.8
36,0.0,-1.68
37,0.0,-1.56
38,0.0,-1.44
39,0.0,-1.32
40,0.0,-1.2
41,0.0,-1.08
42,0.0,-0.96
43,0.0,-0.84
44,0.0,-0.72
45,0.0,-0.6
46,0.0,-0.48
47,0.0,-0.36
48,0.0,-0.24
49,0.0,-0.12
50,0.0,0.0
51,0.0,0.12
52,0.0,0.24
53,0.0,0.36
54,0.0,0.48
55,0.0,0.6
56,0.0,0.72
57,0.0,0.84
58,0.0,0.96
59,0.0,1.08
60,0.0,1.2
61,0.0,1.32
62,0.0,1.44
63,0.0,1.56
64,0.0,1.68
65,0.0,1.8
66,0.0,1.92
67,0.0,2.04
68,0.0,2.16
69,0.0,2.28
70,0.0,2.4
71,0.0,2.52
72,0.0,2.64
73,0.0,2.76
74,0.0,2.88
75,0.0,3.0
76,0.0,3.12
77,0.0,3.24
78,0.0,3.36
79,0.0,3.48
80,0.0,3.6
81,0.0,3.72
82,0.0,3.84
83,0.0,3.96
84,0.0,4.08
85,0.0,4.2
86,0.0,4.32
87,0.0,4.44
88,0.0,4.56
89,0.0,4.68
90,0.0,4.8
91,0.0,4.92
92,0.0,5.04
93,0.0,5.16
94,0.0,5.28
95,0.0,5.4
96,0.0,5.52
97,0.0,5.64
98,0.0,5.76
99,0.0,5.88
100,0.0,6.0
101,0.0,6.12
102,0.13,-6.0
103,0.13,-5.88
104,0.13,-5.76
105,0.13,-5.64
106,0.13,-5.52
107,0.13,-5.4
108,0.13,-5.28
109,0.13,-5.16
110,0.13,-5.04
111,0.13,-4.92
112,0.13,-4.8
113,0.13,-4.68
114,0.13,-4.56
115,0.13,-4.44
116,0.13,-4.32
117,0.13,-4.2
118,0.13,-4.08
119,0.13,-3.96
120,0.13,-3.84
121,0.13,-3.72
122,0.13,-3.6
123,0.13,-3.48
124,0.13,-3.36
125,0.13,-3.24
126,0.13,-3.12
127,0.13,-3.0
128,0.13,-2.88
129,0.13,-2.76
130,0.13,-2.64
131,0.13,-2.52
132,0.13,-2.4
133,0.13,-2.28
134,0.13,-2.16
135,0.13,-2.04
136,0.13,-1.92
137,0.13,-1.8
138,0.13,-1.68
139,0.13,-1.56
140,0.13,-1.44
141,0.13,-1.32
142,0.13,-1.2
143,0.13,-1.08
